"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Location - features/specs/self_healing/login_self_healing.feature:10","11578","Usuário não cadastrado","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de login - Usuário não cadastrado","login_self_healing",""
"Location - features/specs/products.feature:21:15","11615","Preço de Produtos, Examples (#1)","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:50","11631","Ordenação de produtos por preço do Menor para o Maior","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:72","11580","Ordenação de produtos","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:25:15","11616","Preço de Produtos, Examples (#5)","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:10","11598","Login com sucesso","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:24:15","11702","Preço de Produtos, Examples (#4)","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:26:15","11633","Preço de Produtos, Examples (#6)","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:28","11613","Ordenação de produtos por nome do Maior para o Menor","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/login.feature:5","11656","Login locked out","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de login","login",""
"Location - features/specs/products.feature:61","11648","Ordenação de produtos por preço do Maior para o Menor","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:5","11652","Contagem de produtos no carrinho","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:23:15","11677","Preço de Produtos, Examples (#3)","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:22:15","11664","Preço de Produtos, Examples (#2)","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
"Location - features/specs/products.feature:39","11682","Ordenação de produtos por nome do Menor para o Maior","","2026-08-12","broken","2026-08-12","","Exemplo de fluxo de listagem de produtos","products",""
